time,vx, vy, vtheta
0.01,0.02,0,0
0.02,0.04,0,0
0.03,0.06,0,0
0.04,0.08,0,0
0.05,0.1,0,0
0.06,0.12,0,0
0.07,0.14,0,0
0.08,0.16,0,0
0.09,0.18,0,0
0.1,0.2,0,0
0.11,0.22,0,0
0.12,0.24,0,0
0.13,0.26,0,0
0.14,0.28,0,0
0.15,0.3,0,0
0.16,0.32,0,0
0.17,0.34,0,0
0.18,0.36,0,0
0.19,0.38,0,0
0.2,0.4,0,0
0.21,0.42,0,0
0.22,0.44,0,0
0.23,0.46,0,0
0.24,0.48,0,0
0.25,0.5,0,0
0.26,0.52,0,0
0.27,0.54,0,0
0.28,0.56,0,0
0.29,0.58,0,0
0.3,0.6,0,0
0.31,0.62,0,0
0.32,0.64,0,0
0.33,0.66,0,0
0.34,0.68,0,0
0.35,0.7,0,0
0.36,0.72,0,0
0.37,0.74,0,0
0.38,0.76,0,0
0.39,0.78,0,0
0.4,0.8,0,0
0.41,0.82,0,0
0.42,0.84,0,0
0.43,0.86,0,0
0.44,0.88,0,0
0.45,0.9,0,0
0.46,0.92,0,0
0.47,0.94,0,0
0.48,0.96,0,0
0.49,0.98,0,0
0.5,1,0,0
0.51,1.02,0,0
0.52,1.04,0,0
0.53,1.06,0,0
0.54,1.08,0,0
0.55,1.1,0,0
0.56,1.12,0,0
0.57,1.14,0,0
0.58,1.16,0,0
0.59,1.18,0,0
0.6,1.2,0,0
0.61,1.22,0,0
0.62,1.24,0,0
0.63,1.26,0,0
0.64,1.28,0,0
0.65,1.3,0,0
0.66,1.32,0,0
0.67,1.34,0,0
0.68,1.36,0,0
0.69,1.38,0,0
0.7,1.4,0,0
0.71,1.42,0,0
0.72,1.44,0,0
0.73,1.46,0,0
0.74,1.48,0,0
0.75,1.5,0,0
0.76,1.52,0,0
0.77,1.54,0,0
0.78,1.56,0,0
0.79,1.58,0,0
0.8,1.6,0,0
0.81,1.62,0,0
0.82,1.64,0,0
0.83,1.66,0,0
0.84,1.68,0,0
0.85,1.7,0,0
0.86,1.72,0,0
0.87,1.74,0,0
0.88,1.76,0,0
0.89,1.78,0,0
0.9,1.8,0,0
0.91,1.82,0,0
0.92,1.84,0,0
0.93,1.86,0,0
0.94,1.88,0,0
0.95,1.9,0,0
0.96,1.92,0,0
0.97,1.94,0,0
0.98,1.96,0,0
0.99,1.98,0,0
1,2,0,0
