time,vx, vy, vtheta
0.01,0.0048,0,0
0.02,0.0096,0,0
0.03,0.0144,0,0
0.04,0.0192,0,0
0.05,0.024,0,0
0.06,0.0288,0,0
0.07,0.0336,0,0
0.08,0.0384,0,0
0.09,0.0432,0,0
0.1,0.048,0,0
0.11,0.0528,0,0
0.12,0.0576,0,0
0.13,0.0624,0,0
0.14,0.0672,0,0
0.15,0.072,0,0
0.16,0.0768,0,0
0.17,0.0816,0,0
0.18,0.0864,0,0
0.19,0.0912,0,0
0.2,0.096,0,0
0.21,0.1008,0,0
0.22,0.1056,0,0
0.23,0.1104,0,0
0.24,0.1152,0,0
0.25,0.12,0,0
0.26,0.1248,0,0
0.27,0.1296,0,0
0.28,0.1344,0,0
0.29,0.1392,0,0
0.3,0.144,0,0
0.31,0.1488,0,0
0.32,0.1536,0,0
0.33,0.1584,0,0
0.34,0.1632,0,0
0.35,0.168,0,0
0.36,0.1728,0,0
0.37,0.1776,0,0
0.38,0.1824,0,0
0.39,0.1872,0,0
0.4,0.192,0,0
0.41,0.1968,0,0
0.42,0.2016,0,0
0.43,0.2064,0,0
0.44,0.2112,0,0
0.45,0.216,0,0
0.46,0.2208,0,0
0.47,0.2256,0,0
0.48,0.2304,0,0
0.49,0.2352,0,0
0.5,0.24,0,0
0.51,0.2448,0,0
0.52,0.2496,0,0
0.53,0.2544,0,0
0.54,0.2592,0,0
0.55,0.264,0,0
0.56,0.2688,0,0
0.57,0.2736,0,0
0.58,0.2784,0,0
0.59,0.2832,0,0
0.6,0.288,0,0
0.61,0.2928,0,0
0.62,0.2976,0,0
0.63,0.3024,0,0
0.64,0.3072,0,0
0.65,0.312,0,0
0.66,0.3168,0,0
0.67,0.3216,0,0
0.68,0.3264,0,0
0.69,0.3312,0,0
0.7,0.336,0,0
0.71,0.3408,0,0
0.72,0.3456,0,0
0.73,0.3504,0,0
0.74,0.3552,0,0
0.75,0.36,0,0
0.76,0.3648,0,0
0.77,0.3696,0,0
0.78,0.3744,0,0
0.79,0.3792,0,0
0.8,0.384,0,0
0.81,0.3888,0,0
0.82,0.3936,0,0
0.83,0.3984,0,0
0.84,0.4032,0,0
0.85,0.408,0,0
0.86,0.4128,0,0
0.87,0.4176,0,0
0.88,0.4224,0,0
0.89,0.4272,0,0
0.9,0.432,0,0
0.91,0.4368,0,0
0.92,0.4416,0,0
0.93,0.4464,0,0
0.94,0.4512,0,0
0.95,0.456,0,0
0.96,0.4608,0,0
0.97,0.4656,0,0
0.98,0.4704,0,0
0.99,0.4752,0,0
1,0.48,0,0
1.01,0.4848,0,0
1.02,0.4896,0,0
1.03,0.4944,0,0
1.04,0.4992,0,0
1.05,0.504,0,0
1.06,0.5088,0,0
1.07,0.5136,0,0
1.08,0.5184,0,0
1.09,0.5232,0,0
1.1,0.528,0,0
1.11,0.5328,0,0
1.12,0.5376,0,0
1.13,0.5424,0,0
1.14,0.5472,0,0
1.15,0.552,0,0
1.16,0.5568,0,0
1.17,0.5616,0,0
1.18,0.5664,0,0
1.19,0.5712,0,0
1.2,0.576,0,0
1.21,0.5808,0,0
1.22,0.5856,0,0
1.23,0.5904,0,0
1.24,0.5952,0,0
1.25,0.6,0,0
1.26,0.6048,0,0
1.27,0.6096,0,0
1.28,0.6144,0,0
1.29,0.6192,0,0
1.3,0.624,0,0
1.31,0.6288,0,0
1.32,0.6336,0,0
1.33,0.6384,0,0
1.34,0.6432,0,0
1.35,0.648,0,0
1.36,0.6528,0,0
1.37,0.6576,0,0
1.38,0.6624,0,0
1.39,0.6672,0,0
1.4,0.672,0,0
1.41,0.6768,0,0
1.42,0.6816,0,0
1.43,0.6864,0,0
1.44,0.6912,0,0
1.45,0.696,0,0
1.46,0.7008,0,0
1.47,0.7056,0,0
1.48,0.7104,0,0
1.49,0.7152,0,0
1.5,0.72,0,0
1.51,0.7248,0,0
1.52,0.7296,0,0
1.53,0.7344,0,0
1.54,0.7392,0,0
1.55,0.744,0,0
1.56,0.7488,0,0
1.57,0.7536,0,0
1.58,0.7584,0,0
1.59,0.7632,0,0
1.6,0.768,0,0
1.61,0.7728,0,0
1.62,0.7776,0,0
1.63,0.7824,0,0
1.64,0.7872,0,0
1.65,0.792,0,0
1.66,0.7968,0,0
1.67,0.8016,0,0
1.68,0.8064,0,0
1.69,0.8112,0,0
1.7,0.816,0,0
1.71,0.8208,0,0
1.72,0.8256,0,0
1.73,0.8304,0,0
1.74,0.8352,0,0
1.75,0.84,0,0
1.76,0.8448,0,0
1.77,0.8496,0,0
1.78,0.8544,0,0
1.79,0.8592,0,0
1.8,0.864,0,0
1.81,0.8688,0,0
1.82,0.8736,0,0
1.83,0.8784,0,0
1.84,0.8832,0,0
1.85,0.888,0,0
1.86,0.8928,0,0
1.87,0.8976,0,0
1.88,0.9024,0,0
1.89,0.9072,0,0
1.9,0.912,0,0
1.91,0.9168,0,0
1.92,0.9216,0,0
1.93,0.9264,0,0
1.94,0.9312,0,0
1.95,0.936,0,0
1.96,0.9408,0,0
1.97,0.9456,0,0
1.98,0.9504,0,0
1.99,0.9552,0,0
2,0.96,0,0
2.01,0.9648,0,0
2.02,0.9696,0,0
2.03,0.9744,0,0
2.04,0.9792,0,0
